calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
 Basualdo,700,9,1,0,0,1,-34.645195,-58.498145
 Corrales,2900.0,8,1,0,1,0,-34.661832,-58.439433
 Navarro,3100,15,1,0,0,1,-34.596022,-58.497745
 Nevada,2500.0,11,1,0,0,1,-34.610781,-58.504782
 Oliden,4100.0,8,2,1,0,1,-34.676069,-58.474853
 Rivas Joaquï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½n Al,S/N,4,2,2,0,0,,
 Virgilio,2700,10,1,1,0,0,-34.615823,-58.525133
 Virgilio,2900,10,1,0,1,0,-34.613957,-58.527538
11 de Septiembre de 1888,1000,14,11,9,2,0,-34.56833,-58.442528
11 de Septiembre de 1888,1100,14,7,4,2,1,-34.567708,-58.443443
11 de Septiembre de 1888,1200,14,31,18,9,4,-34.566734,-58.44434
11 de Septiembre de 1888,1300,14,23,19,3,1,-34.565788,-58.445129
11 de Septiembre de 1888,1400,13,30,20,8,2,-34.564873,-58.44592
11 de Septiembre de 1888,1500,13,28,16,6,6,-34.563796,-58.446852
11 de Septiembre de 1888,1600,13,31,26,0,5,-34.56302,-58.447508
11 de Septiembre de 1888,1700,13,23,5,15,3,-34.56203,-58.448367
11 de Septiembre de 1888,1800,13,12,6,1,5,-34.561168,-58.449163
11 de Septiembre de 1888,1900,13,15,12,2,1,-34.560211,-58.449953
11 de Septiembre de 1888,1990,13,1,0,0,1,-34.559972,-58.450165
11 de Septiembre de 1888,2100,13,31,21,2,8,-34.558307,-58.451574
11 de Septiembre de 1888,2100,14,1,1,0,0,-34.567189,-58.443871
11 de Septiembre de 1888,2200,13,29,28,0,1,-34.557374,-58.452376
11 de Septiembre de 1888,2300,13,2,1,1,0,-34.556133,-58.453292
11 de Septiembre de 1888,2400,13,4,0,3,1,-34.555603,-58.453669
11 de Septiembre de 1888,2450,13,15,3,10,2,-34.555347,-58.453983
11 de Septiembre de 1888,2500,13,15,7,4,4,-34.554551,-58.454629
11 de Septiembre de 1888,2600,13,22,14,6,2,-34.554103,-58.455027
11 de Septiembre de 1888,2700,13,14,7,6,1,-34.552848,-58.456088
11 de Septiembre de 1888,2800,13,22,7,7,8,-34.551692,-58.456954
11 de Septiembre de 1888,2900,13,23,6,10,7,-34.55072,-58.457675
11 de Septiembre de 1888,3000,13,16,6,8,2,-34.549856,-58.458286
11 de Septiembre de 1888,3100,13,19,8,10,1,-34.549079,-58.458859
11 de Septiembre de 1888,3200,13,17,5,9,3,-34.548325,-58.459422
11 de Septiembre de 1888,3300,13,22,8,12,2,-34.547503,-58.46002
11 de Septiembre de 1888,3400,13,22,8,11,3,-34.546787,-58.46055
11 de Septiembre de 1888,3500,13,17,7,10,0,-34.545967,-58.461136
11 de Septiembre de 1888,3600,13,14,4,6,4,-34.545191,-58.461701
11 de Septiembre de 1888,3700,13,21,7,9,5,-34.544345,-58.462308
11 de Septiembre de 1888,3800,13,13,4,7,2,-34.543641,-58.462833
11 de Septiembre de 1888,3900,13,14,3,8,3,-34.54296,-58.463354
11 de Septiembre de 1888,4000,13,3,1,2,0,-34.542025,-58.464105
11 de Septiembre de 1888,4050,13,4,3,1,0,-34.541984,-58.463997
11 de Septiembre de 1888,4100,13,7,4,2,1,-34.541516,-58.464383
11 de Septiembre de 1888,4150,13,3,0,3,0,-34.541349,-58.464605
11 de Septiembre de 1888,4200,13,15,6,6,3,-34.540696,-58.465014
11 de Septiembre de 1888,4300,13,18,4,7,7,-34.539986,-58.465551
11 de Septiembre de 1888,4400,13,18,6,10,2,-34.539204,-58.466123
11 de Septiembre de 1888,4500,13,9,1,8,0,-34.53845,-58.466613
11 de Septiembre de 1888,4600,13,15,6,8,1,-34.538085,-58.467005
11 de Septiembre de 1888,4800,13,2,1,0,1,-34.536225,-58.467977
11 de Septiembre de 1888,700,14,16,6,3,7,-34.570471,-58.43978
11 de Septiembre de 1888,800,14,23,17,3,3,-34.569827,-58.440658
11 de Septiembre de 1888,900,14,39,23,5,11,-34.568958,-58.44175
12 de Octubre,1600,15,28,10,11,7,-34.599832,-58.469667
12 de Octubre,1698,15,1,1,0,0,-34.60035,-58.469814
12 de Octubre,1700,15,20,12,6,2,-34.601021,-58.470112
12 de Octubre,1800,15,24,18,4,2,-34.602339,-58.47038
12 de Octubre,2600,15,1,1,0,0,-34.599589,-58.469531
12 de Octubre,2800,15,1,0,1,0,,
14 de Julio,1,15,11,5,3,3,-34.591656,-58.469175
14 de Julio,100,15,22,18,1,3,-34.590954,-58.468068
14 de Julio,1000,15,32,8,16,8,-34.58129,-58.461888
14 de Julio,108,15,1,1,0,0,-34.590948,-58.468108
14 de Julio,1100,15,10,1,3,6,-34.580045,-58.461789
14 de Julio,1200,15,13,3,6,4,-34.578997,-58.461748
14 de Julio,1300,15,23,8,9,6,-34.578337,-58.462009
14 de Julio,1400,15,48,16,23,9,-34.576701,-58.463179
14 de Julio,150,15,5,2,1,2,-34.590608,-58.467399
14 de Julio,1500,15,27,3,18,6,-34.574947,-58.464803
14 de Julio,1600,15,25,0,22,3,-34.573909,-58.465862
14 de Julio,200,15,9,1,4,4,-34.590413,-58.467235
14 de Julio,300,15,10,3,7,0,-34.589007,-58.465389
14 de Julio,400,15,11,0,10,1,-34.588162,-58.464484
14 de Julio,50,15,6,4,2,0,-34.591266,-58.46847
14 de Julio,500,15,12,2,8,2,-34.587324,-58.463586
14 de Julio,600,15,18,4,9,5,-34.586052,-58.46221
14 de Julio,70,15,1,0,1,0,-34.584833,-58.462087
14 de Julio,700,15,21,1,16,4,-34.584596,-58.46203
14 de Julio,800,15,21,3,12,6,-34.583453,-58.46198
14 de Julio,900,15,22,1,15,6,-34.582319,-58.461933
15 de Noviembre de 1889,1100,1,23,6,12,5,-34.630805,-58.381978
15 de Noviembre de 1889,1200,1,21,4,17,0,-34.630928,-58.383479
15 de Noviembre de 1889,1300,1,23,0,12,11,-34.631061,-58.384824
