id;nomoficial;alt_derini;alt_derfin;comuna
1;CANTILO, INT.;0;0;13
2;LUGONES, LEOPOLDO AV.;0;0;13
3;PAZ, GRAL. AV.;0;0;13
4;DEL LIBERTADOR AV.;0;0;13
5;COLECTORA CANTILO, INT.;0;0;13
6;LA CACHILA;8601;8699;13
7;VEDIA;1601;1619;13
8;PAZ, GRAL. AV.;0;0;13
9;VEDIA;1621;1699;13
10;11 DE SEPTIEMBRE DE 1888;4801;4899;13
11;LA CACHILA;8501;8599;13
12;CALZADILLA, SANTIAGO;1301;1499;13
13;PAZ, GRAL. AV.;0;0;13
14;PICO;1501;1599;13
15;DEL LIBERTADOR AV.;8601;8699;13
16;COLECTORA CANTILO, INT.;0;0;13
17;CANTILO, INT.;0;0;13
18;PAZ, GRAL. AV.;0;0;13
19;VEDIA;1701;1799;13
20;3 DE FEBRERO;4801;4899;13
21;PICO;1601;1699;13
22;11 DE SEPTIEMBRE DE 1888;4701;4799;13
23;PICO;1701;1799;13
24;DEL LIBERTADOR AV.;8501;8599;13
25;GRECIA;4801;4899;13
27;3 DE FEBRERO;4701;4799;13
28;LUGONES, LEOPOLDO AV.;0;0;13
29;PAZ, GRAL. AV.;0;0;13
30;VEDIA;1901;1999;13
31;DEHEZA;1601;1699;13
32;11 DE SEPTIEMBRE DE 1888;4601;4699;13
33;PICO;1801;1899;13
34;GRECIA;4701;4799;13
35;DEHEZA;1701;1749;13
36;DEL LIBERTADOR AV.;8401;8499;13
37;PAZ, GRAL. AV.;0;0;13
38;VEDIA;2001;2099;13
39;ARCOS;4801;4899;13
40;DEHEZA;1751;1799;13
41;3 DE FEBRERO;4601;4699;13
42;PICO;1901;1999;13
43;O'HIGGINS;4701;4799;13
44;PAZ, GRAL. AV.;0;0;13
45;PAZ, GRAL. AV.;0;0;13
46;ARIAS;1601;1699;13
47;11 DE SEPTIEMBRE DE 1888;4501;4599;13
48;VEDIA;2101;2199;13
49;CUBA;4801;4899;13
50;DEHEZA;1801;1899;13
51;GRECIA;4601;4699;13
52;DEL LIBERTADOR AV.;8301;8399;13
53;ARIAS;1701;1769;13
54;PICO;2001;2099;13
55;ARCOS;4701;4799;13
56;ARIAS;1771;1799;13
57;3 DE FEBRERO;4501;4599;13
58;PAZ, GRAL. AV.;0;0;13
59;VEDIA;2201;2299;13
60;VUELTA DE OBLIGADO;4801;4899;13
61;DEHEZA;1901;1999;13
62;O'HIGGINS;4601;4699;13
63;CANTILO, INT.;0;0;13
64;RAMALLO;1601;1699;13
65;11 DE SEPTIEMBRE DE 1888;4401;4499;13
66;PICO;2101;2199;13
67;CUBA;4701;4799;13
68;ARIAS;1801;1899;13
69;GRECIA;4501;4599;13
70;DEL LIBERTADOR AV.;8201;8299;13
71;DEHEZA;2001;2099;13
72;ARCOS;4601;4699;13
73;VEDIA;2301;2399;13
74;CABILDO AV.;4901;4999;
75;RAMALLO;1701;1799;13
76;3 DE FEBRERO;4401;4499;13
78;VEDIA;0;0;12
79;PICO;2201;2299;13
80;VUELTA DE OBLIGADO;4701;4799;13
81;ARIAS;1901;1949;13
82;O'HIGGINS;4501;4599;13
83;PAZ, GRAL. AV.;0;0;12
84;CORREA;1601;1699;13
85;11 DE SEPTIEMBRE DE 1888;4301;4399;13
86;DEHEZA;2101;2199;13
87;CUBA;4601;4699;13
88;RAMALLO;1801;1899;13
89;GRECIA;4401;4499;13
90;DEL LIBERTADOR AV.;8101;8199;13
91;PAZ, GRAL. AV.;0;0;12
92;VEDIA;2401;2599;12
93;VIDAL;4801;4899;12
94;ARIAS;2001;2099;13
95;ARCOS;4501;4599;13
96;PICO;2301;2399;13
97;CABILDO AV.;4801;4899;
98;LUGONES, LEOPOLDO AV.;0;0;13
99;CORREA;1701;1799;13
100;FIGUEROA ALCORTA, PRES. AV.;0;0;14
101;DEHEZA;2201;2299;13
102;VUELTA DE OBLIGADO;4601;4699;13
103;PICO;2401;2499;12
104;SAN ISIDRO LABRADOR AV.;0;0;12
106;PISSARRO, VICTOR;4301;4399;13
107;RAMALLO;1901;1999;13
108;O'HIGGINS;4401;4499;13
109;VEDIA;2601;2699;12
110;CRAMER;4801;4899;12
111;PAZ, GRAL. AV.;0;0;12
112;RUIZ HUIDOBRO;1601;1699;13
113;11 DE SEPTIEMBRE DE 1888;4201;4299;13
114;ARIAS;2101;2199;13
115;CUBA;4501;4599;13
116;PICO;2501;2599;12
117;CORREA;1801;1899;13
118;GRECIA;4301;4399;13
119;SAN ISIDRO LABRADOR AV.;0;0;12
120;VEDIA;2701;2799;12
121;CONESA;4901;4999;12
122;DEL LIBERTADOR AV.;8001;8099;13
123;RAMALLO;2001;2099;13
124;ARCOS;4401;4499;13
125;CRAMER;4751;4799;12
126;11 DE SEPTIEMBRE DE 1888;4151;4199;13
127;RIVADAVIA MARTIN, COMODORO;1101;1599;13
128;DEL LIBERTADOR AV.;0;0;13
129;DEHEZA;2301;2399;13
130;CABILDO AV.;4701;4799;
131;PICO;2601;2699;12
132;VIDAL;4701;4799;12
133;RUIZ HUIDOBRO;1701;1799;13
134;3 DE FEBRERO;4201;4299;13
135;ARIAS;2201;2299;13
136;VUELTA DE OBLIGADO;4501;4599;13
137;MALHARRO, MARTIN A.;2501;2599;12
138;MOLDES;4651;4699;12
139;VEDIA;2801;2899;12
140;DEHEZA;2401;2469;12
141;SAN ISIDRO LABRADOR AV.;0;0;12
142;RUIZ HUIDOBRO;1801;1849;13
143;CORREA;1901;1999;13
144;O'HIGGINS;4301;4399;13
145;ARGELIA;2701;2799;12
146;CONESA;4851;4899;12
147;BESARES;1601;1699;13
148;11 DE SEPTIEMBRE DE 1888;4101;4149;13
150;PISSARRO, VICTOR;4201;4299;13
151;PICO;2701;2799;12
152;CRAMER;4701;4749;12
153;RAMALLO;2101;2199;13
154;CUBA;4401;4499;13
155;IRLANDA;1701;1799;13
156;3 DE FEBRERO;4151;4199;13
157;MALHARRO, MARTIN A.;2601;2699;12
158;VIDAL;4651;4699;12
159;VEDIA;2901;2999;12
160;CANTILO, INT.;0;0;13
161;RUIZ HUIDOBRO;1851;1899;13
162;GRECIA;4201;4299;13
163;DEHEZA;2501;2599;12
164;MOLDES;4601;4649;12
165;DEL LIBERTADOR AV.;7901;7999;13
166;PICO;2801;2899;12
167;CONESA;4801;4849;12
168;11 DE SEPTIEMBRE DE 1888;4001;4099;13
169;CORREA;2001;2099;13
170;ARCOS;4301;4399;13
171;ARIAS;2301;2399;13
172;CABILDO AV.;4601;4699;
173;BESARES;1701;1799;13
174;3 DE FEBRERO;4101;4149;13
175;DEHEZA;2601;2699;12
176;VIDAL;4601;4649;12
177;RAMALLO;2201;2299;13
178;VUELTA DE OBLIGADO;4401;4499;13
179;PADRE CANAVERY;7501;7599;13
180;RIVADAVIA MARTIN, COMODORO;1601;1699;13
181;11 DE SEPTIEMBRE DE 1888;0;0;13
182;PICO;2901;2999;12
183;ZAPIOLA;4801;4899;12
184;RUIZ HUIDOBRO;1901;1999;13
185;O'HIGGINS;4201;4299;13
186;BESARES;1801;1869;13
187;ARIAS;2401;2499;12
188;SAN ISIDRO LABRADOR AV.;0;0;12
189;VEDIA;3001;3099;12
190;VILELA;1601;1699;13
191;11 DE SEPTIEMBRE DE 1888;0;0;13
192;UDAONDO, GUILLERMO AV.;901;949;13
195;DEL LIBERTADOR AV.;7801;7899;13
196;RIO PIEDRAS;1701;1799;13
197;3 DE FEBRERO;4051;4099;13
198;CORREA;2101;2199;13
199;CUBA;4301;4399;13
200;DEHEZA;2701;2799;12
201;CRAMER;4601;4699;12
